ID,rep_ID,phylum,class,order,family,genus,species,strandedness
u20643,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u208051,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u208853,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u210126,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u210296,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u211281,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u212081,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u21376,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u216229,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u217461,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u217481,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u218515,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u220198,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u221832,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u222812,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u222837,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u222925,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u226010,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u22674,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u229192,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u230972,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u230998,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u232176,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u232195,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u235971,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u236839,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u23689,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u23926,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u240513,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
